Paper Link,Authors,Year,Country,Latitude,Longitude,Ecosystem,Type,Soil Carbon Stock (Mg C ha-1),Total C stock (Mg C ha-1),AGB (Mg ha-1),BGB (Mg ha-1),Total Biomass (Mg ha-1)
Soil carbon stock changes due to edge effects in central Amazon forest fragments - ScienceDirect,Barros & Fearnside,2016,Brazil,-2.33333,-60,Tropical,Edge,34.43,,,,
Soil carbon stock changes due to edge effects in central Amazon forest fragments - ScienceDirect,Barros & Fearnside,2016,Brazil,-2.33333,-60,Tropical,Interior,34.72,,,,
Edge effects enhance carbon uptake and its vulnerability to climate change in temperate broadleaf forests,Reinmann & Hutyra,2016,US,42.24,-71.11,Temperate,Edge,,90.57513412,130.7000492,50.450219,181.1502682
Edge effects enhance carbon uptake and its vulnerability to climate change in temperate broadleaf forests,Reinmann & Hutyra,2016,US,42.24,-71.11,Temperate,Interior,,49.95808219,72.08958469,27.82657969,99.91616437
Full article: Forest edge effect on biomass carbon along altitudinal gradients in Chinese Fir (Cunninghamia lanceolata): A study from Southeastern China.2018.1537517,Saeed et al.,2019,China,26.75,117.375,Tropical,Edge,60.83,194.525,334.25,54.8,389.05
Full article: Forest edge effect on biomass carbon along altitudinal gradients in Chinese Fir (Cunninghamia lanceolata): A study from Southeastern China.2018.1537517,Saeed et al.,2019,China,26.75,117.375,Tropical,Interior,68.2,241.545,419.78,63.31,483.09
Patterns of ecosystem carbon density in edge-affected fengshui forests,Ma et al.,2017,China,23.183,113.5,Subtropical,Edge,43.1,64.25,85.4,43.1,128.5
Patterns of ecosystem carbon density in edge-affected fengshui forests,Ma et al.,2017,China,23.183,113.5,Subtropical,Interior,90.4,121.7,153,90.4,243.4
Carbon Storage in a Fragmented Landscape of Atlantic Forest: The Role Played by Edge-Affected Habitats and Emergent Trees,de Paula et al.,2011,Brazil,-8.5,-35.83333,Tropical,Edge,,75,111.029,38.971,150
Carbon Storage in a Fragmented Landscape of Atlantic Forest: The Role Played by Edge-Affected Habitats and Emergent Trees,de Paula et al.,2011,Brazil,-8.5,-35.83333,Tropical,Interior,,202.8,300.222,105.378,405.6
Edge effects on tree architecture exacerbate biomass loss of fragmented Amazonian forests | Nature Communications,Nunes et al.,2023,Brazil,-2.34167,-60.09361,Tropical,Edge,,173.94125,257.5,90.3825,347.8825
Edge effects on tree architecture exacerbate biomass loss of fragmented Amazonian forests | Nature Communications,Nunes et al.,2023,Brazil,-2.34167,-60.09361,Tropical,Interior,,190.6261,282.2,99.0522,381.2522
The magnitude and causes of edge effects on soil organic carbon stocks within and across urban to rural forest patches - ScienceDirect1001869,Bae & Ryu,2021,Korea,,,Temperate,Edge,32.5,,,,
The magnitude and causes of edge effects on soil organic carbon stocks within and across urban to rural forest patches - ScienceDirect1001869,Bae & Ryu,2021,Korea,,,Temperate,Interior,70,,,,
"View of Edge effects on biomass, growth, and tree diversity of a degraded peatland in West Kalimantan, Indonesia",Astiani et al.,2018,Indonesia,-0.21667,109.43333,Tropical,Edge,,103,152.48,53.52,206
"View of Edge effects on biomass, growth, and tree diversity of a degraded peatland in West Kalimantan, Indonesia",Astiani et al.,2018,Indonesia,-0.21667,109.43333,Tropical,Interior,,151.05,223.612,78.488,302.1
Elevated growth and biomass along temperate forest edges | Nature Communications,Morreale et al.,2021,US,,,Temperate,Edge,,76.96583203,111.0618067,42.86985738,153.9316641
Elevated growth and biomass along temperate forest edges | Nature Communications,Morreale et al.,2021,US,,,Temperate,Interior,,42.11720982,60.77519455,23.4592251,84.23441964
