Paper Link,Authors,Year,Country,Latitude,Longitude,Ecosystem,Type,Annual Mortality Rate (%),Diversity (Shannon Index)
RAIN FOREST FRAGMENTATION AND THE DYNAMICS OF AMAZONIAN TREE COMMUNITIES - Laurance - 1998 - Ecology - Wiley Online Library,Laurance et al.,1998,Brazil,-2.50000,-60.00000,Tropical,Edge,4.01,
RAIN FOREST FRAGMENTATION AND THE DYNAMICS OF AMAZONIAN TREE COMMUNITIES - Laurance - 1998 - Ecology - Wiley Online Library,Laurance et al.,1998,Brazil,-2.50000,-60.00000,Tropical,Interior,1.27,
Effect of surrounding vegetation on edge-related tree mortality in Amazonian forest fragments,Mesquita et al.,1999,Brazil,-2.33333,-60.00000,Tropical,Edge,3.86,
Effect of surrounding vegetation on edge-related tree mortality in Amazonian forest fragments,Mesquita et al.,1999,Brazil,-2.33333,-60.00000,Tropical,Interior,1.07,
Burton P. J. (2002) Effects of clearcut edges on trees in the sub-boreal spruce zone of Northwest-Central British Columbia,Burton,2002,Canada,55.00000,-126.50000,Boreal,Edge,18.2,
Burton P. J. (2002) Effects of clearcut edges on trees in the sub-boreal spruce zone of Northwest-Central British Columbia,Burton,2002,Canada,55.00000,-126.50000,Boreal,Interior,11,
Structure and composition of edges next to regenerating clear-cuts in mixed-wood boreal forest,Harper & Macdonald,2002,Canada,55.00000,-113.00000,Boreal,Edge,7.5,
Structure and composition of edges next to regenerating clear-cuts in mixed-wood boreal forest,Harper & Macdonald,2002,Canada,55.00000,-113.00000,Boreal,Interior,1.5,
Vegetation structure and composition along an interior-edge-exterior gradient in a Costa Rican montane cloud forest,Oosterhoorn & Kappelle,1999,Costa Rica,9.58556,-83.79833,Tropical,Edge,,3.19
Vegetation structure and composition along an interior-edge-exterior gradient in a Costa Rican montane cloud forest,Oosterhoorn & Kappelle,1999,Costa Rica,9.58556,-83.79833,Tropical,Interior,,3.54
Vegetation Responses to Edge Environments in Old‐Growth Douglas‐Fir Forests - Chen - 1992 - Ecological Applications - Wiley Online Library,Chen et al.,1992,US,45.80000,-121.91667,Temperate,Edge,35.48387097,
Vegetation Responses to Edge Environments in Old‐Growth Douglas‐Fir Forests - Chen - 1992 - Ecological Applications - Wiley Online Library,Chen et al.,1992,US,45.80000,-121.91667,Temperate,Interior,6.52173913,
"Responses of woody plant seedlings to edge formation in a lowland tropical rainforest, Amazonia - ScienceDirect",Sizer & Tanner,1999,Brazil,,,Tropical,Edge,26,
"Responses of woody plant seedlings to edge formation in a lowland tropical rainforest, Amazonia - ScienceDirect",Sizer & Tanner,1999,Brazil,,,Tropical,Interior,15,
Origin and early development of forest edge vegetation in Panama,Williams-Linera,1990,Panama,9.25000,-78.96667,Tropical,Edge,22.4,
Origin and early development of forest edge vegetation in Panama,Williams-Linera,1990,Panama,9.25000,-78.96667,Tropical,Interior,15.7,
"Redalyc.Edge effect on tree diversity, composition and structure in a deciduous dry forest in Central Brazil",Bonesso Sampaio & Scariot,2011,Brazil,-13.22222,-46.77500,Tropical,Edge,,1.733333333
"Redalyc.Edge effect on tree diversity, composition and structure in a deciduous dry forest in Central Brazil",Bonesso Sampaio & Scariot,2011,Brazil,-13.22222,-46.77500,Tropical,Interior,,1.833333333
"Bamboo abundance, edge effects, and tree mortality in a forest fragment in Southwestern Amazonia",Castro et al.,2013,Brazil,-10.06667,-67.61667,Tropical,Edge,3.8,
"Bamboo abundance, edge effects, and tree mortality in a forest fragment in Southwestern Amazonia",Castro et al.,2013,Brazil,-10.06667,-67.61667,Tropical,Interior,3.6,
"Edge‐Interior Disparities in Tree Species and Structural Composition of the Kilengwe Forest in Morogoro Region, Tanzania - Kacholi - 2014 - International Scholarly Research Notices - Wiley Online Library",Kacholi,2014,Tanzania,-29.11667,32.61667,Tropical,Edge,,3.28
"Edge‐Interior Disparities in Tree Species and Structural Composition of the Kilengwe Forest in Morogoro Region, Tanzania - Kacholi - 2014 - International Scholarly Research Notices - Wiley Online Library",Kacholi,2014,Tanzania,-29.11667,32.61667,Tropical,Interior,,3.65
Effects of linear edges on tree communities and soil properties in a moist semi-deciduous forest in Ghana | Plant Ecology,Addo-Fordjour et al.,2024,Ghana,6.70000,-1.30833,Tropical,Edge,,3.81
Effects of linear edges on tree communities and soil properties in a moist semi-deciduous forest in Ghana | Plant Ecology,Addo-Fordjour et al.,2024,Ghana,6.70000,-1.30833,Tropical,Interior,,3.71
"Analysis of the condition of forest interior and edge in Mount Papandayan, West Java, Indonesia based on floristic composition and structural characteristics of tree community | Biodiversitas Journal of Biological Diversity",Sulistyawati & Fatmawati Tihurua,2019,Indonesia,-7.35028,107.81417,Tropical,Edge,,1.7
"Analysis of the condition of forest interior and edge in Mount Papandayan, West Java, Indonesia based on floristic composition and structural characteristics of tree community | Biodiversitas Journal of Biological Diversity",Sulistyawati & Fatmawati Tihurua,2019,Indonesia,-7.35028,107.81417,Tropical,Interior,,2.196666667
Effects of the type of montane forest edge on oak seedling establishment along forest–edge–exterior gradients - ScienceDirect,López-Barrera et al.,2006,Mexico,16.77500,-92.52667,Tropical,Edge,3,
Effects of the type of montane forest edge on oak seedling establishment along forest–edge–exterior gradients - ScienceDirect,López-Barrera et al.,2006,Mexico,16.77500,-92.52667,Tropical,Interior,1.85,
Does the edge effect influence plant community structure in a tropical dry forest?,Gallo Oliveira et al.,2013,Brazil,-10.14167,-37.55833,Tropical,Edge,,2.39
Does the edge effect influence plant community structure in a tropical dry forest?,Gallo Oliveira et al.,2013,Brazil,-10.14167,-37.55833,Tropical,Interior,,2.37
Study of Forest Road Effect on Tree Community and Stand Structure in Three Italian and Iranian Temperate Forests,Picchio et al.,2018,Iran,37.76667,48.67222,Temperate,Edge,33.8028169,1.4
Study of Forest Road Effect on Tree Community and Stand Structure in Three Italian and Iranian Temperate Forests,Picchio et al.,2018,Iran,37.76667,48.67222,Temperate,Interior,23.95833333,1
Study of Forest Road Effect on Tree Community and Stand Structure in Three Italian and Iranian Temperate Forests,Picchio et al.,2018,Italy,43.63611,12.25278,Temperate,Edge,14.12999596,2.3
Study of Forest Road Effect on Tree Community and Stand Structure in Three Italian and Iranian Temperate Forests,Picchio et al.,2018,Italy,43.63611,12.25278,Temperate,Interior,17.50072317,1.3
Study of Forest Road Effect on Tree Community and Stand Structure in Three Italian and Iranian Temperate Forests,Picchio et al.,2018,Italy,47.16667,13.23889,Temperate,Edge,14.36464088,2.3
Study of Forest Road Effect on Tree Community and Stand Structure in Three Italian and Iranian Temperate Forests,Picchio et al.,2018,Italy,47.16667,13.23889,Temperate,Interior,11.18012422,1.85
Full article: Can contrast between forest and adjacent open habitat explain the edge effects on plant diversity?,Alignier et al.,2014,France,,,Temperate,Edge,,2.6
Full article: Can contrast between forest and adjacent open habitat explain the edge effects on plant diversity?,Alignier et al.,2014,France,,,Temperate,Interior,,2.5
