Author,n,Mean Difference,SD,TE,seTE,Ecosystem,Country
Reinmann & Hutyra,8,22.62364,3.424206,5.745194779,1.436298695,Temperate,US
Saeed et al.,8,-8.51,68.9013,-0.1074000055,0.02685000138,Tropical,China
Ma et al.,3,-47.3,40.6683,0,0,Subtropical,China
de Paula et al.,20,-66.407,10.90908,-5.830103952,0.9218203742,Tropical,Brazil
Nunes et al.,22,-8.6697,4.914,-1.697287523,0.2558757215,Tropical,Brazil
Astiani et al.,24,-24.968,6.88311,-3.502346248,0.5055201373,Tropical,Indonesia
Morreale et al.,6607,19.4107,4.24021,4.577248727,0.03981872606,Temperate,US
Shapiro et al.,216,-82.485,14.04,-5.854385965,0.2816692761,Tropical,Democratic Republic of Congo
Shen at al.,207,-31.59,10.392302,-3.028615385,0.1488483256,Subtropical,China
Brando et al.,70,-17.55,10.392302,-1.670055351,0.1411454385,Tropical,Brazil
Young & Mitchell,20,19.77,5.84064,3.241878953,0.5125860695,Subtropical,New Zealand
Ordway & Asner,27,-25.981,25.9807275,-0.9697071404,0.1319604274,Tropical,Malaysia
Harper 1997,5,-122.2873679,14.414575,-6.169884826,1.951088895,Boreal,Canada
Harper 1998,5,-126.1085108,17.42074562,-5.264716137,1.664849423,Boreal,Canada
Harper 2011,5,-142.4521435,23.8989,-4.334992778,1.370845082,Boreal,Canada
Harper 2003,5,-46.05416024,20.3729,-1.644043544,0.5198922172,Boreal,Canada
Harper 2001,5,-10.2915832,4.5633,-1.640213832,0.518681156,Boreal,Canada
US Forest Service PR,5,-46.12925822,12.09290837,-2.774233493,0.8772896598,Subtropical,US (Puerto Rico)
US Forest Service AS,1,-21.47262147,30.30879158,-1.133538903,0.801533045,Tropical,US (American Samoa)
US Forest Service AK,1,-44.74994955,22.35757895,-3.202489833,2.264502277,Boreal,US
US Forest Service AL1,5,11.22690803,7.69743,1.060746772,0.3354375819,Subtropical,US
US Forest Service AL2,5,14.56435993,7.69743,1.3760777,0.4351539768,Subtropical,US
US Forest Service LA1,5,11.2886048,15.38784,0.5335313078,0.1687174136,Subtropical,US
US Forest Service LA2,5,-14.90276337,15.38784,-0.7043466373,0.2227339636,Subtropical,US
US Forest Service MN1,4,5.719679379,18.99892,0.172030211,0.06082186439,Temperate,US
US Forest Service MN2,4,28.47376514,18.99892,0.8564025184,0.3027840141,Temperate,US
US Forest Service MN3,4,8.11937297,18.99892,0.2442055494,0.0863397,Temperate,US
US Forest Service MN4,4,5.096482869,18.99892,0.1532863934,0.05419492412,Temperate,US
