Author,n,Mean Difference,SD,TE,seTE,Ecosystem,Country
Laurance et al.,66,2.74,1,2.707764706,0.2547348548,Tropical,Brazil
Mesquita et al.,6,2.79,1.9,1.174736842,0.4666794625,Tropical,Brazil
Burton,34,7.2,4.1,1.714614941,0.2477360549,Boreal,Canada
Harper & Macdonald,10,6,4,1.35483871,0.3917306427,Boreal,Canada
Chen et al.,14,28.96213184,4.84,5.601959737,1.079275929,Temperate,US
Sizer & Tanner,24,11,2,5.310344828,0.7830659852,Tropical,Brazil
Williams-Linera,8,6.7,4,1.456521739,0.4579113981,Tropical,Panama
Castro et al.,15,0.2,2.6,0.07239819005,0.2032003525,Tropical,Brazil
López-Barrera et al.,6,1.15,1.6,0.575,0.361028046,Tropical,Mexico
Picchio et al. (a),10,9.84448357,5,1.778358322,0.4688298371,Temperate,Iran
Picchio et al. (b),10,-3.37072721,5,-0.6089055605,0.2832168764,Temperate,Italy
Picchio et al. (c),10,3.18451666,5,0.5752675257,0.2796786304,Temperate,Italy
Armenteras et al.,6,19.5,4,3.9,1.17059351,Tropical,Colombia
US Forest Service AK1,4,3.765690377,21.71,0.09911667769,0.3942229883,Boreal,US
US Forest Service AK2,4,6.344190569,21.71,0.166985341,0.3970758907,Boreal,US
US Forest Service AK3,4,47.82608696,21.71,1.258829689,0.5935193958,Boreal,US
US Forest Service AK4,4,-5.03113325,21.71,-0.1324243798,0.3954437723,Boreal,US
Harper,1,6.332442067,9.89,1.024459788,1.068407192,Temperate,Canada
US Forest Sevice SC1,7,23.52941176,9.37,2.114646903,0.6383685414,Subtropical,US
US Forest Sevice SC2,7,5.959520236,9.37,0.5355969431,0.3295379975,Subtropical,US
US Forest Sevice SC3,7,0,9.37,0,0.2968248642,Subtropical,US
US Forest Sevice SC4,7,4.946996466,9.37,0.4445989072,0.3197251262,Subtropical,US
US Forest Sevice SC5,7,-10.14492754,9.37,-0.9117499334,0.3840347772,Subtropical,US
US Forest Sevice SC6,7,-8.24742268,9.37,-0.7412164404,0.3568584965,Subtropical,US
US Forest Sevice SC7,7,-7.142857143,9.37,-0.6419463814,0.3428416082,Subtropical,US
US Forest Service MN1,4,4.629629629,2.07,1.278020602,0.598624116,Temperate,US
US Forest Service MN2,4,11.11111111,2.07,3.067249444,1.15333696,Temperate,US
US Forest Service MN3,4,12.90322581,2.07,3.561967097,1.319141748,Temperate,US
US Forest Service MN4,4,12.5,2.07,3.450655625,1.281624664,Temperate,US
